,CITY_ID,SHEM_YISHU,N_05-09,N_05-08,N_05-07,N_05-06,N_05-05,N_05-04,N_05-03,N_05-02,N_05-01,N_04-30,N_04-29,N_04-28,N_04-27,N_04-26,N_04-25,N_04-24,N_04-23,N_04-22,N_04-21,N_04-20,N_04-19,N_04-18,N_04-17,N_04-16,N_04-15,N_04-14,N_04-13,N_04-12,N_04-11,N_04-10,N_04-09,N_04-08,N_04-07,N_04-06,N_04-05,N_04-04,N_04-03,N_04-02,N_04-01,N_03-31,N_03-30,N_03-29,N_03-28,N_03-27,N_03-26,N_03-25,N_03-24,N_03-23,N_03-22,N_03-21,N_03-20,N_03-19,N_03-18,N_03-17,N_03-16
0,44.0,אשדוד,790.0,812.0,812.0,711.0,713.0,677.0,675.0,692.0,702.0,717.0,861.0,988.0,1289.0,1286.0,1130.0,1148.0,1149.0,993.0,968.0,691.0,692.0,796.0,841.0,974.0,954.0,1072.0,1424.0,1813.0,2057.0,2245.0,2147.0,2473.0,2340.0,2041.0,1645.0,1395.0,1256.0,1246.0,1016.0,1012.0,896.0,764.0,715.0,655.0,613.0,491.0,571.0,645.0,702.0,631.0,533.0,501.0,404.0,200.0,
1,93.0,תל מונד,349.0,349.0,353.0,337.0,343.0,323.0,323.0,329.0,334.0,343.0,369.0,402.0,476.0,473.0,432.0,442.0,453.0,425.0,412.0,356.0,363.0,383.0,401.0,436.0,430.0,440.0,476.0,538.0,560.0,564.0,533.0,573.0,575.0,550.0,492.0,473.0,458.0,449.0,418.0,385.0,329.0,267.0,236.0,232.0,207.0,,,,205.0,,,,,,
2,104.0,גן יבנה,239.0,253.0,260.0,255.0,255.0,251.0,252.0,274.0,272.0,274.0,299.0,324.0,393.0,376.0,333.0,344.0,356.0,322.0,317.0,256.0,273.0,307.0,309.0,342.0,338.0,372.0,442.0,531.0,547.0,575.0,552.0,618.0,602.0,536.0,458.0,436.0,431.0,415.0,356.0,327.0,289.0,227.0,,,,,,,,,,,,,
3,106.0,כפר יונה,210.0,212.0,220.0,,,,,207.0,208.0,206.0,261.0,304.0,381.0,372.0,322.0,327.0,339.0,291.0,268.0,216.0,213.0,229.0,254.0,290.0,308.0,325.0,388.0,471.0,515.0,540.0,509.0,543.0,548.0,496.0,437.0,435.0,421.0,425.0,400.0,380.0,333.0,281.0,233.0,211.0,,,,,201.0,,,,,,
4,115.0,אבן יהודה,273.0,282.0,292.0,253.0,258.0,244.0,241.0,220.0,222.0,220.0,253.0,280.0,337.0,341.0,322.0,330.0,352.0,335.0,340.0,298.0,286.0,298.0,317.0,330.0,319.0,322.0,360.0,434.0,475.0,489.0,479.0,516.0,520.0,484.0,435.0,401.0,382.0,371.0,347.0,317.0,278.0,224.0,208.0,210.0,206.0,,250.0,290.0,322.0,291.0,249.0,223.0,,,
5,127.0,קדימה-צורן,351.0,357.0,368.0,319.0,319.0,299.0,314.0,301.0,314.0,326.0,347.0,394.0,468.0,449.0,410.0,420.0,429.0,415.0,410.0,353.0,364.0,404.0,428.0,468.0,469.0,499.0,555.0,625.0,666.0,688.0,649.0,690.0,658.0,611.0,545.0,504.0,496.0,502.0,492.0,525.0,471.0,409.0,358.0,330.0,313.0,258.0,237.0,275.0,334.0,330.0,279.0,250.0,208.0,,
6,148.0,גני תקווה,451.0,462.0,469.0,421.0,419.0,433.0,439.0,418.0,416.0,419.0,463.0,524.0,603.0,586.0,546.0,563.0,572.0,514.0,494.0,419.0,412.0,436.0,461.0,495.0,484.0,502.0,551.0,642.0,692.0,702.0,683.0,771.0,756.0,720.0,638.0,597.0,578.0,574.0,506.0,469.0,401.0,330.0,292.0,268.0,229.0,,,228.0,265.0,222.0,,,,,
7,156.0,יקנעם עילית,310.0,304.0,311.0,264.0,271.0,259.0,251.0,265.0,281.0,288.0,310.0,348.0,412.0,399.0,351.0,357.0,364.0,333.0,318.0,270.0,277.0,281.0,290.0,313.0,304.0,326.0,378.0,458.0,538.0,562.0,542.0,612.0,608.0,577.0,520.0,501.0,485.0,466.0,407.0,365.0,305.0,241.0,,,,,,,,,,,,,
8,489.0,גבעת שמואל,466.0,470.0,474.0,421.0,426.0,408.0,410.0,404.0,418.0,416.0,469.0,540.0,663.0,620.0,541.0,548.0,560.0,499.0,462.0,351.0,341.0,371.0,382.0,440.0,436.0,453.0,521.0,644.0,681.0,699.0,656.0,739.0,746.0,697.0,626.0,599.0,580.0,576.0,500.0,471.0,410.0,314.0,296.0,284.0,269.0,253.0,286.0,339.0,383.0,341.0,305.0,274.0,217.0,,
9,695.0,מבשרת ציון,448.0,450.0,475.0,445.0,420.0,422.0,426.0,422.0,435.0,439.0,457.0,503.0,546.0,531.0,505.0,518.0,550.0,541.0,567.0,546.0,576.0,612.0,658.0,661.0,671.0,670.0,707.0,763.0,801.0,777.0,755.0,789.0,782.0,740.0,681.0,650.0,656.0,660.0,652.0,622.0,546.0,465.0,408.0,387.0,334.0,272.0,265.0,323.0,344.0,312.0,247.0,229.0,,,
10,715.0,נצרת עילית,248.0,244.0,246.0,205.0,208.0,200.0,,,,,221.0,246.0,311.0,319.0,290.0,299.0,301.0,260.0,244.0,,,,,208.0,,213.0,259.0,320.0,360.0,381.0,376.0,483.0,473.0,435.0,378.0,330.0,311.0,303.0,207.0,,,,,,,,,,,,,,,,
11,764.0,כרמיאל,520.0,520.0,526.0,418.0,420.0,398.0,385.0,382.0,381.0,393.0,454.0,514.0,615.0,608.0,558.0,576.0,587.0,518.0,493.0,413.0,407.0,432.0,446.0,478.0,461.0,496.0,585.0,726.0,806.0,863.0,831.0,967.0,945.0,859.0,724.0,653.0,618.0,611.0,515.0,469.0,412.0,343.0,301.0,261.0,231.0,,202.0,224.0,238.0,210.0,,,,,
